Hora,Dia,Temperatura,Umidade,Vento,CO,NO2
11,61,26.3,49.3,1.35,0.896,93.4
12,61,23.4,51.7,2.42,2.186,85.2
13,61,23.2,61.3,2.97,1.128,84.9
14,61,19.4,53.0,2.64,1.733,90.4
15,61,19.3,50.8,0.18,1.099,69.4
16,61,20.8,50.3,5.58,1.209,53.9
17,61,18.1,51.8,2.59,1.964,86.2
18,61,22.1,50.4,3.26,2.505,93.9
19,61,18.0,48.2,4.87,2.076,47.1
20,61,19.8,48.4,0.52,2.959,70.5
21,61,22.0,49.3,2.23,3.506,91.5
22,61,18.3,57.5,2.42,3.595,93.0
23,61,18.9,52.4,2.5,3.057,110.7
0,62,20.7,52.8,2.74,3.388,141.5
1,62,27.6,58.1,5.17,3.236,114.4
2,62,25.2,58.9,4.01,4.738,166.0
3,62,32.4,48.9,4.44,4.445,123.6
4,62,27.0,48.8,3.07,4.784,160.7
5,62,29.0,47.0,0.9,,146.7
6,62,31.8,53.9,0.12,3.889,156.1
7,62,32.6,49.2,0.71,3.955,122.2
8,62,32.2,48.4,3.54,3.1,
9,62,29.7,47.0,3.05,2.557,133.9
10,62,28.3,47.7,2.68,2.917,114.7
11,62,26.2,53.7,2.45,3.313,116.0
12,62,25.3,45.8,6.02,1.96,127.1
13,62,21.4,58.6,1.77,1.449,88.8
14,62,19.6,51.4,4.39,1.673,95.3
15,62,20.2,53.2,3.0,2.101,68.4
16,62,19.1,47.6,2.91,0.634,40.2
17,62,18.0,54.5,4.76,1.928,69.1
18,62,20.2,52.3,5.19,2.063,48.3
19,62,20.8,53.5,2.64,2.916,69.7
20,62,19.6,61.5,4.2,2.896,86.5
21,62,23.2,53.9,3.55,3.01,87.2
22,62,19.0,50.3,3.01,4.352,113.5
23,62,22.1,49.8,3.31,3.952,120.8
0,63,22.4,56.3,1.97,3.969,101.8
1,63,21.4,60.1,2.54,4.498,118.6
2,63,26.2,53.6,2.13,5.08,113.1
3,63,27.1,55.3,4.35,4.434,140.0
4,63,31.2,53.7,2.86,4.804,165.1
5,63,29.9,58.1,1.05,4.545,176.8
6,63,26.8,42.2,1.91,3.629,149.1
7,63,32.4,53.6,1.8,3.484,164.4
8,63,30.6,55.7,2.26,2.674,138.5
9,63,28.5,44.7,3.06,3.561,138.4
10,63,25.9,47.8,2.8,2.215,108.0
11,63,23.2,48.8,5.97,0.1,53.0
12,63,23.1,49.4,3.86,1.705,115.4
13,63,24.7,50.2,3.8,1.616,87.6
14,63,25.1,53.7,0.54,0.77,93.5
15,63,23.4,57.3,2.45,1.042,55.0
16,63,18.5,59.8,2.27,0.929,99.7
17,63,16.8,50.8,1.82,1.176,59.0
18,63,19.1,50.0,1.8,2.572,65.3
19,63,15.5,61.9,0.29,2.214,69.9
20,63,20.2,57.2,1.09,2.615,82.7
21,63,20.0,54.4,4.31,3.45,92.2
22,63,20.4,56.2,2.79,3.677,94.0
23,63,19.4,54.0,2.24,2.883,
0,64,24.9,55.1,2.99,3.902,107.0
1,64,24.1,51.1,4.75,4.322,147.1
2,64,24.1,54.1,3.01,3.935,121.2
3,64,21.7,45.9,3.81,5.185,127.3
4,64,28.2,48.1,1.73,4.626,136.4
5,64,32.3,46.9,2.07,4.14,149.1
6,64,32.2,48.5,3.53,3.508,133.7
7,64,27.8,47.0,5.84,3.728,142.1
8,64,27.0,49.2,5.14,2.585,119.9
9,64,28.4,43.9,3.87,2.903,145.4
10,64,24.4,55.4,3.23,1.635,118.7
11,64,25.8,51.8,5.1,1.806,139.1
12,64,25.5,43.8,4.19,,87.0
13,64,25.1,48.3,0.44,1.623,
14,64,21.2,55.3,1.42,1.023,
15,64,20.0,51.3,3.51,1.695,81.6
16,64,17.8,51.2,0.32,1.281,52.7
17,64,17.4,54.4,1.65,1.525,74.6
18,64,18.5,56.2,1.95,1.87,74.7
19,64,19.8,46.9,2.62,3.08,54.9
20,64,21.4,56.3,2.57,3.188,76.1
21,64,18.8,50.4,2.57,3.397,95.6
22,64,24.4,52.6,4.24,2.695,
23,64,22.1,53.2,2.6,3.525,118.0
0,65,24.0,50.2,2.42,4.812,119.7
1,65,23.8,47.7,0.98,3.936,
2,65,21.6,52.1,4.54,4.169,148.7
3,65,29.3,59.3,1.99,4.199,106.8
4,65,29.8,44.3,1.37,4.204,135.9
5,65,28.3,60.0,3.32,5.031,180.4
6,65,29.1,50.0,1.85,4.442,158.9
7,65,29.9,51.2,2.21,4.22,139.8
8,65,25.2,47.0,3.39,3.384,121.8
9,65,26.5,48.2,2.51,2.684,140.6
10,65,28.1,49.1,6.47,1.724,113.4
11,65,22.8,47.9,2.89,1.64,100.9
12,65,24.6,51.6,3.93,1.478,100.4
13,65,20.0,52.0,0.09,2.45,99.2
14,65,22.4,62.5,1.71,0.784,74.2
15,65,20.4,48.1,1.37,1.14,50.3
16,65,16.4,55.6,1.57,0.875,47.4
17,65,21.5,54.8,3.62,2.131,83.6
18,65,17.5,49.4,4.55,2.537,83.8
19,65,17.5,58.2,3.52,2.224,79.0
20,65,20.1,52.0,2.66,2.862,73.8
21,65,22.8,40.7,2.05,3.298,103.2
22,65,19.5,57.5,4.67,3.413,93.6
23,65,22.8,47.6,6.11,3.927,131.0
0,66,24.9,47.3,3.2,4.401,112.8
1,66,26.8,55.4,4.41,4.575,125.6
2,66,26.9,50.2,3.52,,141.5
3,66,26.9,56.5,4.13,3.507,149.0
4,66,26.7,58.0,1.25,4.546,
5,66,29.1,48.1,2.27,4.489,154.4
6,66,26.9,55.9,3.59,4.006,144.2
7,66,23.1,49.3,4.82,,143.4
8,66,29.3,62.4,1.77,3.438,139.3
9,66,29.4,47.7,0.05,2.786,117.3
10,66,21.8,58.6,2.25,1.292,109.8
11,66,23.3,57.2,4.52,2.198,112.0
12,66,25.3,54.0,0.62,1.374,129.0
13,66,26.9,48.6,1.23,1.712,80.2
14,66,21.6,52.8,3.23,0.884,61.3
15,66,19.1,43.5,2.83,1.999,83.0
16,66,19.4,55.3,3.89,1.207,51.2
17,66,22.0,55.2,1.16,1.719,52.1
18,66,17.8,55.3,2.51,2.201,50.5
19,66,17.6,39.8,4.79,3.025,69.7
20,66,18.8,48.0,1.21,2.95,72.3
21,66,18.6,50.7,5.22,2.541,64.9
22,66,21.8,54.9,1.4,3.987,101.1
23,66,26.0,53.6,4.27,3.097,67.7
0,67,24.8,51.7,2.44,4.281,130.2
1,67,24.9,55.7,1.28,5.544,134.9
2,67,26.1,47.1,2.25,4.655,135.4
3,67,24.6,55.7,3.82,4.365,153.7
4,67,30.2,53.3,2.99,4.556,157.1
5,67,28.8,53.2,4.68,3.885,138.4
6,67,28.8,50.5,5.15,3.891,155.7
7,67,35.4,58.5,1.23,4.489,177.1
8,67,29.1,53.7,1.12,3.247,123.3
9,67,26.2,47.3,1.04,1.64,
10,67,25.8,53.5,1.65,2.669,105.0
11,67,27.7,55.4,4.66,2.978,135.2
12,67,24.4,49.7,3.84,1.384,83.2
13,67,20.0,59.5,2.18,0.616,67.1
14,67,23.5,54.9,2.98,1.716,99.4
15,67,19.3,42.5,5.11,1.859,88.2
16,67,23.6,54.4,5.86,1.523,59.1
17,67,21.5,51.5,3.39,2.488,77.8
18,67,18.2,57.2,0.99,2.4,63.3
19,67,21.9,58.2,3.45,2.646,53.6
20,67,19.9,55.0,4.4,2.227,79.1
21,67,22.3,61.6,3.34,3.244,85.9
22,67,22.6,52.3,4.09,3.395,84.8
23,67,21.2,56.8,3.54,3.682,128.6
0,68,22.9,57.1,1.15,4.167,108.0
1,68,27.6,51.2,1.67,4.753,137.5
2,68,26.0,56.1,2.52,3.9,150.2
3,68,26.9,48.9,4.6,4.759,145.0
4,68,26.6,49.9,1.85,4.04,135.4
5,68,29.9,44.5,3.68,,154.5
6,68,33.3,51.2,3.46,4.297,159.8
7,68,26.9,53.6,5.38,2.8,150.1
8,68,28.6,57.3,2.94,2.223,156.3
9,68,30.6,54.8,0.37,2.981,124.2
10,68,26.6,50.6,3.97,1.527,113.2
11,68,26.4,46.2,6.21,2.046,89.2
12,68,22.1,55.5,4.07,0.858,98.6
13,68,23.8,58.4,1.82,2.32,98.2
14,68,21.3,57.4,1.38,1.428,76.6
15,68,22.6,58.6,1.57,1.539,64.9
16,68,22.3,52.3,6.0,0.189,50.7
17,68,24.6,50.3,2.51,1.94,74.0
18,68,20.4,50.2,2.01,1.967,55.2
19,68,20.0,53.7,2.76,1.62,62.6
20,68,20.3,53.5,2.52,2.734,81.6
21,68,20.0,55.0,5.35,2.584,61.5
22,68,22.4,52.6,1.48,3.551,84.7
23,68,22.3,52.6,4.77,3.662,99.0
0,69,24.6,48.7,3.18,3.939,142.9
1,69,28.2,56.2,4.81,4.481,120.1
2,69,24.8,53.0,5.37,4.156,135.7
3,69,30.1,50.1,3.13,4.894,134.5
4,69,31.2,46.9,2.53,4.378,138.1
5,69,28.9,44.7,3.1,3.711,124.5
6,69,25.0,59.0,2.86,3.422,
7,69,27.9,54.4,0.51,4.52,134.3
8,69,31.2,42.5,5.33,3.576,155.3
9,69,27.8,55.5,3.37,3.339,141.6
10,69,24.8,57.2,1.26,3.067,
11,69,24.6,53.3,0.1,1.975,121.6
12,69,26.0,60.2,0.49,2.134,147.9
13,69,24.1,53.9,4.16,1.397,93.4
14,69,21.3,46.5,2.07,1.689,65.1
15,69,20.0,55.8,2.32,1.158,92.7
16,69,19.2,55.5,3.73,1.298,69.8
17,69,17.6,51.7,2.23,1.584,98.5
18,69,22.5,56.1,3.82,2.199,64.4
19,69,18.8,46.0,3.14,2.497,95.2
20,69,22.4,58.2,2.87,2.808,82.1
21,69,23.8,48.5,0.64,3.506,133.7
22,69,23.8,47.9,1.77,3.812,98.9
23,69,22.1,52.8,3.9,4.548,162.7
0,70,25.1,54.6,1.98,3.457,121.2
1,70,25.6,53.1,4.81,3.743,137.9
2,70,25.0,48.8,6.52,4.435,164.9
3,70,28.5,48.9,3.98,4.628,135.7
4,70,26.3,46.4,5.24,4.256,163.1
5,70,31.5,49.4,4.08,4.612,150.7
6,70,28.4,56.9,2.2,4.118,153.4
7,70,29.6,51.1,3.3,3.325,143.5
8,70,29.2,55.5,6.02,3.245,147.0
9,70,27.4,59.1,2.21,2.837,137.5
10,70,28.0,48.7,1.44,2.345,109.8
11,70,24.7,51.7,1.3,2.44,114.0
12,70,26.1,63.0,2.67,2.1,66.0
13,70,20.4,61.1,1.49,1.547,
14,70,22.1,45.0,5.51,1.914,109.5
15,70,24.7,54.5,3.32,2.099,82.6
16,70,18.0,54.6,4.46,1.623,46.2
17,70,18.2,58.7,2.55,2.826,90.4
18,70,20.4,50.2,1.29,2.006,58.6
19,70,19.9,49.8,1.04,2.201,75.8
20,70,20.7,50.4,1.64,3.231,96.6
21,70,21.8,50.6,3.52,2.93,96.3
22,70,23.1,57.1,3.78,3.471,115.9
23,70,25.3,46.5,3.9,3.389,108.3
0,71,25.2,49.3,0.77,4.75,130.1
1,71,25.2,43.5,3.0,3.654,135.4
2,71,28.2,56.6,1.46,4.716,141.1
3,71,31.7,56.8,3.6,4.684,137.7
4,71,28.5,49.8,3.72,4.166,154.4
5,71,27.3,50.3,1.24,3.471,126.8
6,71,31.6,52.8,4.45,3.064,139.4
7,71,29.0,58.7,6.51,2.882,117.1
8,71,24.4,54.7,4.25,3.134,129.0
9,71,29.6,47.6,2.76,3.031,123.8
10,71,25.8,44.2,2.53,2.343,103.7
11,71,25.5,46.8,2.69,1.555,119.8
12,71,25.1,52.8,1.86,1.976,115.0
13,71,23.5,49.7,3.38,0.508,97.0
14,71,23.3,54.0,1.29,0.34,
15,71,20.0,51.2,0.17,1.396,66.2
16,71,21.1,48.4,3.33,1.116,77.2
17,71,19.0,48.4,3.03,2.046,73.4
18,71,20.9,61.5,2.14,2.098,72.8
19,71,20.8,58.2,1.08,3.302,45.9
20,71,18.2,63.2,3.43,2.222,87.6
21,71,23.0,55.8,1.51,3.563,103.8
22,71,20.8,51.6,2.79,3.324,98.2
23,71,24.7,59.2,5.65,4.372,128.2
0,72,25.2,52.3,3.98,4.022,129.2
1,72,29.4,52.3,0.95,5.233,129.6
2,72,26.5,51.8,1.09,4.176,133.5
3,72,27.3,37.1,3.23,4.3,129.1
4,72,28.7,59.4,0.94,4.635,174.3
5,72,28.7,53.9,0.0,5.175,175.4
6,72,31.1,52.3,3.8,2.885,126.6
7,72,26.1,51.9,3.48,3.244,150.7
8,72,26.7,52.8,3.68,2.854,138.7
9,72,25.9,49.3,3.39,1.595,
10,72,28.9,54.4,2.9,2.233,119.2
11,72,29.2,44.7,2.01,1.478,115.4
12,72,24.2,53.7,3.77,0.407,98.2
13,72,22.8,56.0,5.29,1.052,117.7
14,72,22.1,52.4,2.25,1.234,78.8
15,72,23.2,54.9,1.47,1.427,69.5
16,72,18.3,49.6,1.3,1.577,78.2
17,72,20.1,49.1,1.7,1.286,61.1
18,72,21.4,54.8,3.3,2.825,69.5
19,72,20.6,57.2,0.21,2.538,62.5
20,72,20.5,44.5,3.66,3.232,34.9
21,72,22.9,55.7,3.97,2.229,92.1
22,72,16.5,52.3,0.3,3.068,71.1
23,72,24.5,51.7,1.53,4.425,103.3
0,73,23.2,46.3,3.12,3.997,124.4
1,73,22.1,49.1,2.78,3.721,120.2
2,73,28.0,56.4,3.78,,163.3
3,73,30.8,50.9,2.79,5.093,129.5
4,73,28.6,49.5,4.9,4.597,185.5
5,73,31.2,50.0,2.52,4.542,175.1
6,73,32.7,52.6,1.53,4.047,164.1
7,73,32.0,52.6,1.4,3.358,164.1
8,73,32.1,50.0,4.1,3.24,144.4
9,73,29.5,56.6,3.04,2.195,97.6
10,73,27.2,56.7,3.95,1.899,121.7
11,73,22.6,55.3,3.92,2.359,89.1
12,73,24.0,53.1,0.03,1.01,82.2
13,73,21.5,56.8,1.29,1.857,89.6
14,73,26.4,53.7,1.47,2.419,75.5
15,73,20.6,59.1,1.78,1.796,90.9
16,73,20.4,58.4,2.37,,67.3
17,73,20.8,48.7,4.5,1.248,69.6
18,73,19.6,48.7,4.8,,63.5
19,73,23.1,49.6,2.56,1.317,66.1
20,73,18.9,59.2,2.62,2.632,67.0
21,73,21.4,45.7,1.94,2.992,71.1
22,73,20.5,55.8,3.13,3.052,93.2
23,73,20.6,55.6,3.3,3.698,94.7
0,74,23.3,58.8,4.21,4.039,141.3
1,74,25.8,53.2,4.2,3.981,106.9
2,74,26.2,45.4,0.45,5.57,185.8
3,74,26.7,47.2,2.77,,154.6
4,74,26.1,46.3,5.08,4.577,152.8
5,74,29.2,48.5,2.34,4.285,143.7
6,74,26.6,51.1,4.71,3.923,159.1
7,74,30.9,44.9,2.54,3.3,138.9
8,74,29.1,58.6,3.26,3.531,145.8
9,74,25.2,45.8,1.29,2.708,140.9
10,74,26.4,58.8,1.35,1.988,124.9
11,74,24.4,58.6,4.09,1.788,124.2
12,74,25.2,56.9,4.32,1.42,102.3
13,74,25.9,48.7,3.04,2.726,85.2
14,74,18.3,56.2,1.16,1.519,49.0
15,74,21.3,47.2,3.07,,82.8
16,74,19.9,58.6,4.89,1.74,74.8
17,74,21.1,53.3,5.61,1.402,93.9
18,74,20.0,52.0,2.52,1.715,65.4
19,74,18.2,48.4,0.51,1.534,72.0
20,74,19.6,41.7,4.26,2.047,86.2
21,74,19.4,49.0,2.59,3.364,100.1
22,74,24.2,58.3,4.41,3.306,110.7
23,74,23.3,51.0,3.42,4.021,100.2
0,75,28.4,50.6,1.67,3.5,100.4
1,75,25.8,55.5,3.09,4.636,129.9
2,75,25.7,61.3,4.96,4.835,110.7
3,75,25.1,59.1,2.78,3.556,136.2
4,75,25.3,47.5,1.45,4.641,142.5
5,75,26.3,42.4,0.62,5.033,164.1
6,75,30.1,62.8,1.84,4.974,155.8
7,75,30.5,62.2,2.38,,128.6
8,75,25.8,53.2,4.23,3.327,158.9
9,75,29.9,44.7,1.32,3.76,140.1
10,75,26.1,57.0,5.33,2.287,130.8
11,75,26.2,51.6,0.99,2.844,119.0
12,75,27.8,51.1,6.5,1.462,101.6
13,75,25.1,56.9,5.59,1.465,66.5
14,75,21.6,55.2,3.21,0.948,93.7
15,75,19.3,48.3,0.53,1.364,85.6
16,75,16.0,53.6,2.92,1.391,67.6
17,75,18.3,57.8,2.42,1.217,67.5
18,75,19.2,56.8,1.09,1.928,84.3
19,75,17.8,56.0,3.44,2.471,70.2
20,75,20.0,58.7,1.76,3.78,68.1
21,75,21.2,51.8,1.93,2.163,75.1
22,75,21.7,54.4,2.69,4.49,112.2
23,75,22.0,36.5,2.14,3.767,109.4
0,76,25.0,50.3,6.12,4.383,143.6
1,76,26.8,55.8,2.2,5.132,
2,76,25.0,50.6,3.66,5.163,134.1
3,76,31.0,48.4,3.22,4.331,128.6
4,76,28.8,46.2,3.53,,155.5
5,76,29.5,56.2,3.64,4.195,
6,76,31.1,53.4,4.32,3.753,158.7
7,76,30.0,55.1,3.4,4.273,137.7
8,76,30.9,42.1,3.34,3.243,126.8
9,76,28.8,50.6,3.09,2.001,147.8
10,76,25.9,50.8,2.79,2.013,133.6
11,76,26.7,50.6,1.63,1.372,103.3
12,76,22.4,50.2,2.91,1.451,74.8
13,76,23.6,51.2,3.36,1.75,120.0
14,76,22.1,57.6,3.6,0.919,71.2
15,76,20.7,44.2,3.27,1.041,72.9
16,76,20.1,62.9,2.65,1.268,80.4
17,76,16.1,57.6,2.91,1.473,36.3
18,76,18.6,54.2,2.17,2.159,62.0
19,76,20.0,58.5,3.47,2.601,76.0
20,76,20.6,46.5,2.67,3.823,94.2
21,76,19.1,51.0,3.27,3.007,69.3
22,76,24.7,52.0,4.5,3.84,108.3
23,76,21.6,60.3,1.94,3.104,103.8
0,77,26.6,51.8,3.9,4.015,145.2
1,77,26.8,54.2,3.05,4.331,146.1
2,77,25.9,49.3,6.03,3.682,127.8
3,77,31.8,52.9,2.68,4.519,143.5
4,77,26.6,60.4,4.04,4.207,163.3
5,77,31.4,55.6,3.02,4.123,154.5
6,77,31.7,50.1,0.92,,145.5
7,77,28.2,54.9,2.22,3.9,179.4
8,77,31.8,53.3,4.32,4.23,133.4
9,77,27.7,54.2,2.35,3.579,174.2
10,77,27.8,57.2,0.33,2.348,124.9
11,77,26.5,57.6,2.95,2.04,98.6
12,77,24.4,52.0,1.36,1.606,60.6
13,77,25.0,55.7,3.2,1.422,98.1
14,77,23.8,50.9,5.33,0.67,48.4
15,77,17.7,50.1,4.15,0.782,72.0
16,77,23.0,51.8,5.3,1.465,97.7
17,77,16.5,54.7,2.16,1.669,50.6
18,77,21.8,45.2,2.79,2.126,82.3
19,77,22.1,57.7,1.43,2.477,63.6
20,77,18.2,40.7,1.97,3.072,101.7
21,77,20.3,67.5,1.61,3.047,90.2
22,77,20.0,61.5,1.04,4.279,107.5
23,77,23.0,51.8,5.05,2.73,117.6
0,78,24.1,52.8,0.14,4.783,137.2
1,78,27.6,53.2,5.06,4.547,121.2
2,78,29.9,48.1,4.87,4.167,163.5
3,78,31.1,51.6,3.75,4.466,122.8
4,78,27.9,50.9,1.33,4.83,158.4
5,78,29.2,50.8,0.63,,146.3
6,78,26.4,53.0,2.18,3.037,118.1
7,78,28.0,45.0,3.94,3.774,129.7
8,78,31.0,50.9,3.0,3.092,136.2
9,78,31.5,51.4,1.43,3.675,143.2
10,78,24.8,53.2,4.72,1.159,122.5
11,78,24.9,51.5,5.53,2.903,138.9
12,78,24.7,58.3,2.66,1.263,96.8
13,78,24.0,51.0,3.16,2.17,87.3
14,78,20.6,55.0,0.74,1.424,94.8
15,78,22.1,59.9,2.38,0.99,59.5
16,78,19.5,53.8,3.77,1.396,44.0
17,78,19.9,55.1,3.53,2.046,85.6
18,78,20.8,53.3,2.24,1.231,82.2
19,78,19.9,60.2,2.59,2.632,65.0
20,78,19.5,52.8,2.33,,110.1
21,78,21.0,60.1,2.58,3.399,101.5
22,78,22.1,52.9,3.63,3.433,105.8
23,78,22.7,48.9,0.05,3.854,103.0
0,79,24.3,56.1,2.89,3.63,131.6
1,79,29.3,49.7,3.52,4.876,
2,79,28.4,54.6,2.14,5.038,140.3
3,79,27.7,38.0,2.28,4.955,139.8
4,79,30.5,50.9,2.32,4.839,134.7
5,79,28.9,49.0,2.28,4.801,169.9
6,79,32.1,45.0,3.01,4.819,163.3
7,79,30.3,48.1,3.19,2.716,148.2
8,79,28.9,48.5,0.15,2.329,125.1
9,79,29.2,51.0,3.98,3.602,152.0
10,79,24.1,45.9,2.57,1.592,112.1
11,79,23.8,54.4,5.9,1.048,91.2
12,79,22.4,60.1,1.21,1.592,86.3
13,79,23.8,54.3,1.7,0.763,50.1
14,79,25.7,56.3,2.7,1.328,95.8
15,79,25.7,57.8,3.62,0.984,84.4
16,79,21.7,59.7,0.07,1.629,114.2
17,79,21.0,63.1,1.76,1.902,65.0
18,79,16.2,52.7,3.89,1.438,54.4
19,79,18.9,50.7,1.58,2.132,46.8
20,79,18.9,58.3,5.06,2.496,93.4
21,79,20.0,57.5,2.32,3.61,105.8
22,79,21.9,57.3,1.65,4.421,132.5
23,79,22.5,62.7,3.92,3.636,94.8
0,80,20.9,53.8,5.41,4.676,137.5
1,80,27.6,53.8,3.62,4.885,128.8
2,80,25.2,47.5,4.89,3.652,151.7
3,80,28.8,62.0,5.51,3.725,146.5
4,80,33.3,48.3,1.62,4.547,128.1
5,80,27.8,50.1,4.41,4.781,154.8
6,80,24.8,50.8,0.71,3.726,118.0
7,80,29.1,48.1,3.64,2.6,117.5
8,80,31.3,46.9,2.89,3.234,121.8
9,80,32.3,47.7,4.86,1.817,109.8
10,80,24.9,45.7,4.76,1.551,106.6
11,80,27.1,47.9,3.85,1.667,106.9
12,80,23.9,62.6,3.45,1.662,98.3
13,80,23.3,56.7,3.76,1.872,90.6
14,80,27.6,56.3,3.09,,
15,80,18.3,60.4,2.91,0.568,45.7
16,80,21.0,62.9,5.16,,65.3
17,80,20.9,44.9,5.34,1.44,86.9
18,80,22.0,47.3,2.79,1.879,66.3
19,80,20.2,49.9,3.36,2.083,79.3
20,80,21.1,51.3,3.12,1.811,78.1
21,80,20.5,52.3,0.58,2.71,98.8
22,80,22.9,50.9,2.5,3.379,103.1
23,80,22.8,54.2,5.4,2.064,105.6
0,81,26.1,52.4,1.88,4.699,
1,81,25.4,48.8,6.17,3.395,131.6
2,81,28.1,40.7,4.76,4.771,149.3
3,81,28.3,46.5,3.6,4.821,134.3
4,81,31.4,47.8,3.84,4.248,130.9
5,81,29.6,49.9,1.62,4.926,152.9
6,81,26.3,46.5,2.6,4.237,175.6
7,81,32.2,47.9,5.16,3.395,140.4
8,81,27.4,46.1,2.08,3.02,140.8
9,81,27.1,51.2,4.59,3.124,102.9
10,81,26.2,46.8,0.93,2.642,124.3
11,81,28.9,47.1,1.2,2.837,117.4
12,81,20.6,47.3,5.85,0.1,40.9
13,81,29.8,50.3,2.98,1.813,94.7
14,81,24.5,48.3,2.19,0.717,47.4
15,81,21.8,58.0,5.04,1.105,59.0
16,81,20.4,55.9,4.87,1.557,84.5
17,81,20.6,53.5,4.38,2.351,76.9
18,81,20.9,49.7,2.15,1.55,58.8
19,81,21.3,55.5,2.57,2.089,63.9
20,81,21.6,57.0,3.47,2.616,73.9
21,81,21.5,54.3,4.04,2.502,86.2
22,81,22.0,61.4,2.24,4.051,87.5
23,81,23.2,55.3,3.26,3.811,127.2
0,82,24.5,57.2,3.4,4.207,104.9
1,82,28.4,52.1,4.93,4.668,108.5
2,82,28.6,54.8,4.13,4.477,154.6
3,82,22.5,49.3,0.74,4.109,
4,82,30.5,48.6,2.68,4.559,152.6
5,82,30.1,52.7,1.61,4.025,159.1
6,82,29.8,52.8,3.85,3.971,138.9
7,82,28.9,53.9,4.38,3.962,150.7
8,82,31.5,56.1,3.15,2.741,143.1
9,82,30.3,43.8,2.6,,147.6
10,82,25.8,47.4,3.1,2.318,110.5
11,82,27.0,53.1,3.31,1.624,97.1
12,82,22.9,49.5,2.04,1.696,105.4
13,82,20.8,70.6,1.17,1.655,91.9
14,82,21.1,56.2,0.08,0.478,67.7
15,82,23.1,52.7,4.9,1.542,98.1
16,82,22.4,50.7,3.74,0.83,37.1
17,82,21.1,51.3,3.54,1.578,45.5
18,82,21.3,53.8,4.9,1.436,39.3
19,82,21.1,54.2,1.12,2.21,91.1
20,82,19.3,51.9,0.4,3.7,98.7
21,82,22.2,52.0,3.58,3.232,70.5
22,82,24.0,59.5,3.44,3.995,103.1
23,82,25.1,59.4,0.4,4.299,114.8
0,83,27.3,53.1,3.54,4.582,92.7
1,83,27.6,45.0,2.4,4.778,138.4
2,83,28.1,54.3,1.79,4.852,125.9
3,83,30.6,58.6,2.5,5.298,164.8
4,83,29.2,58.1,0.66,4.804,136.8
5,83,28.0,55.3,2.11,5.439,166.7
6,83,29.6,58.2,1.94,4.575,175.2
7,83,28.2,51.8,3.84,2.915,152.7
8,83,27.9,54.8,2.76,3.1,144.6
9,83,28.1,48.2,3.96,2.891,128.9
10,83,25.8,53.7,0.82,2.543,
11,83,25.6,59.0,1.74,2.439,
12,83,21.1,50.7,3.83,1.809,94.7
13,83,24.0,48.5,2.54,,76.2
14,83,22.4,53.8,4.27,1.835,60.4
15,83,19.7,52.9,0.29,1.243,77.7
16,83,21.9,56.7,4.1,1.054,46.8
17,83,21.9,51.2,2.04,1.484,89.1
18,83,16.7,63.6,1.9,2.238,74.6
19,83,18.5,48.0,4.49,1.889,84.6
20,83,19.0,60.6,4.74,2.075,89.1
21,83,19.5,50.3,4.55,2.626,116.2
22,83,24.1,43.8,6.06,2.388,91.6
23,83,23.2,54.2,4.9,3.259,99.0
0,84,24.4,51.4,1.81,3.681,111.3
1,84,22.2,47.8,3.21,4.084,151.0
2,84,28.7,43.0,2.46,5.019,125.4
3,84,26.0,52.2,6.04,4.437,132.4
4,84,29.4,56.1,4.66,4.964,159.2
5,84,30.3,53.8,2.72,4.87,155.4
6,84,32.6,50.5,4.32,3.747,162.0
7,84,27.1,54.3,1.15,3.707,126.0
8,84,23.2,52.9,3.38,2.878,133.8
9,84,28.8,44.2,1.59,1.887,117.3
10,84,31.0,43.6,0.47,2.208,101.0
11,84,28.7,50.4,4.18,1.924,120.2
12,84,25.3,51.6,4.36,1.482,93.4
13,84,22.6,57.5,3.69,1.591,86.1
14,84,24.0,56.6,2.73,1.663,69.3
15,84,19.4,57.2,1.1,,58.3
16,84,21.5,52.1,1.26,1.878,57.5
17,84,21.1,46.8,1.55,1.88,82.8
18,84,22.0,55.4,2.65,2.338,88.9
19,84,25.6,54.9,4.61,2.896,105.2
20,84,21.4,41.6,4.59,2.468,85.2
21,84,20.4,49.7,0.53,3.908,92.8
22,84,22.4,49.8,1.96,3.166,89.6
23,84,20.1,54.6,1.92,3.349,113.1
0,85,23.6,48.9,0.8,4.574,128.8
1,85,25.4,52.2,3.85,4.131,126.5
2,85,26.4,51.0,2.63,4.686,
3,85,28.8,50.6,2.83,5.618,175.0
4,85,27.6,48.1,5.02,4.409,143.6
5,85,32.0,47.2,3.13,4.503,174.2
6,85,29.9,45.6,2.35,3.638,149.1
7,85,29.8,53.0,3.86,2.708,130.5
8,85,28.6,54.3,4.59,3.006,124.3
9,85,28.8,47.5,3.44,3.309,132.0
10,85,29.1,58.9,4.03,2.202,
11,85,24.5,51.1,2.78,2.138,103.5
12,85,23.6,60.6,2.88,2.345,116.2
13,85,23.0,49.9,3.17,2.107,86.9
14,85,19.8,43.9,1.87,1.517,78.3
15,85,19.8,56.1,2.15,1.393,53.4
16,85,19.7,55.3,5.07,0.384,66.3
17,85,21.9,53.6,6.01,1.067,57.7
18,85,20.5,50.6,5.39,1.534,89.0
19,85,20.5,53.7,1.02,,82.0
20,85,22.3,50.7,0.87,3.082,86.1
21,85,21.1,52.1,1.21,4.21,119.3
